OrderNumber,Sales Channel,WarehouseCode,OrderDate,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Discount Applied,Unit Cost,Unit Price
SO - 000110,In-Store,WARE-UHY1004,1/6/2018,USD,10,33,261,13,8,0.05,1212.97,1956.4
SO - 000111,Distributor,WARE-XYS1001,1/6/2018,USD,23,21,17,38,6,0.1,124.62,201
SO - 000113,In-Store,WARE-PUJ1005,1/6/2018,USD,4,36,317,39,5,0.05,641.66,1051.9
SO - 000115,In-Store,WARE-NMK1003,1/6/2018,USD,9,32,138,6,6,0.15,3146.32,3932.9
SO - 000116,In-Store,WARE-MKL1006,1/6/2018,USD,5,11,354,25,3,0.05,700.69,1112.2
SO - 000121,Wholesale,WARE-NMK1003,1/6/2018,USD,25,46,193,33,4,0.4,1754.06,2278
SO - 000124,Distributor,WARE-UHY1004,2/6/2018,USD,24,19,218,15,3,0.4,866.71,1969.8
SO - 000126,Online,WARE-NMK1003,2/6/2018,USD,18,46,110,24,7,0.1,95.81,174.2
SO - 000127,In-Store,WARE-UHY1004,2/6/2018,USD,7,32,229,46,3,0.08,2510.09,2988.2
SO - 000131,In-Store,WARE-PUJ1005,3/6/2018,USD,8,29,305,23,7,0.08,2734.61,6076.9
SO - 000132,Online,WARE-PUJ1005,3/6/2018,USD,13,35,303,14,7,0.2,4186.7,5735.2
SO - 000133,Online,WARE-UHY1004,3/6/2018,USD,19,46,217,7,3,0.1,2077.34,3919.5
SO - 000134,Online,WARE-MKL1006,3/6/2018,USD,17,42,362,46,1,0.05,3832.67,6083.6
SO - 000138,Online,WARE-MKL1006,3/6/2018,USD,12,22,360,17,8,0.05,698.81,998.3
SO - 000142,Distributor,WARE-MKL1006,3/6/2018,USD,24,24,367,3,8,0.05,3249.97,5701.7
SO - 000144,In-Store,WARE-XYS1001,4/6/2018,USD,11,21,6,11,3,0.05,2012.01,3095.4
SO - 000150,Distributor,WARE-XYS1001,5/6/2018,USD,23,20,17,8,8,0.05,1455.24,3638.1
SO - 000153,Online,WARE-NMK1003,5/6/2018,USD,19,8,111,16,5,0.05,3062.44,3926.2
SO - 000155,Wholesale,WARE-MKL1006,5/6/2018,USD,27,13,360,4,3,0.05,1377.32,2257.9
SO - 000156,Distributor,WARE-NMK1003,6/6/2018,USD,24,32,148,33,8,0.08,756.3,1112.2
SO - 000158,Online,WARE-NBV1002,6/6/2018,USD,13,8,59,45,3,0.4,1233.34,2371.8
SO - 000159,Online,WARE-NBV1002,6/6/2018,USD,14,47,60,1,1,0.4,686.08,857.6
SO - 000164,In-Store,WARE-NMK1003,7/6/2018,USD,5,40,120,46,7,0.05,1761.16,2257.9
SO - 000172,Wholesale,WARE-NMK1003,8/6/2018,USD,28,6,96,10,8,0.15,743.7,1005
SO - 000173,Distributor,WARE-PUJ1005,8/6/2018,USD,24,17,289,45,5,0.05,1317.42,2485.7
SO - 000174,In-Store,WARE-NMK1003,8/6/2018,USD,3,7,140,22,3,0.05,2154.52,2659.9
SO - 000175,In-Store,WARE-NMK1003,9/6/2018,USD,1,1,107,1,1,0.08,1579.32,2224.4
SO - 000180,Online,WARE-XYS1001,9/6/2018,USD,18,5,36,29,7,0.1,2844.69,4006.6
SO - 000182,In-Store,WARE-UHY1004,10/6/2018,USD,10,34,255,15,5,0.05,90.45,167.5
SO - 000183,Online,WARE-MKL1006,10/6/2018,USD,14,23,336,27,7,0.08,1821.66,3195.9
SO - 000184,Online,WARE-PUJ1005,10/6/2018,USD,20,18,307,15,1,0.05,809.96,1051.9
SO - 000185,Online,WARE-XYS1001,10/6/2018,USD,15,8,9,28,4,0.1,3540.62,5447.1
SO - 000187,In-Store,WARE-MKL1006,11/6/2018,USD,6,47,337,30,3,0.1,632.68,891.1
SO - 000190,Online,WARE-NMK1003,11/6/2018,USD,20,38,185,5,2,0.3,545.51,924.6
SO - 000191,Online,WARE-NMK1003,11/6/2018,USD,20,21,189,10,7,0.3,1989.63,3430.4
SO - 000192,Distributor,WARE-NMK1003,11/6/2018,USD,22,24,170,43,7,0.08,622.3,1152.4
SO - 000195,Distributor,WARE-NMK1003,12/6/2018,USD,24,17,99,33,7,0.15,436.84,1092.1
SO - 000361,Wholesale,WARE-MKL1006,1/7/2018,USD,28,44,362,45,1,0.08,527.63,837.5
SO - 000362,Wholesale,WARE-PUJ1005,1/7/2018,USD,25,21,295,40,1,0.08,773.85,1031.8
SO - 000363,Online,WARE-UHY1004,1/7/2018,USD,14,7,256,28,4,0.15,1454.97,2385.2
SO - 000366,Online,WARE-NMK1003,1/7/2018,USD,13,35,102,40,7,0.4,1815.3,3946.3
SO - 000370,Distributor,WARE-XYS1001,2/7/2018,USD,24,9,45,18,7,0.15,610.5,911.2
SO - 000371,Distributor,WARE-UHY1004,2/7/2018,USD,21,26,238,22,3,0.4,379.89,904.5
SO - 000373,Online,WARE-XYS1001,2/7/2018,USD,19,6,39,21,5,0.3,134.4,227.8
SO - 000376,In-Store,WARE-NMK1003,3/7/2018,USD,4,43,159,20,7,0.05,2234.12,3919.5
SO - 000378,In-Store,WARE-NMK1003,4/7/2018,USD,4,10,199,20,4,0.05,536.27,924.6
SO - 000379,Online,WARE-NMK1003,4/7/2018,USD,17,45,182,22,8,0.05,794.35,1018.4
SO - 000381,Distributor,WARE-NBV1002,4/7/2018,USD,23,17,80,47,2,0.3,538.48,944.7
SO - 000394,Wholesale,WARE-XYS1001,5/7/2018,USD,26,17,24,32,3,0.08,933.98,1139
SO - 000400,Distributor,WARE-NMK1003,6/7/2018,USD,23,1,120,29,7,0.05,2682.95,5708.4
SO - 000401,Online,WARE-PUJ1005,6/7/2018,USD,18,38,288,40,1,0.3,830.8,1038.5
SO - 000403,Online,WARE-NMK1003,6/7/2018,USD,16,14,191,33,8,0.2,792.34,1085.4
SO - 000411,Online,WARE-PUJ1005,7/7/2018,USD,13,17,322,22,3,0.2,1495.91,1802.3
SO - 000414,Online,WARE-MKL1006,8/7/2018,USD,15,40,351,4,7,0.08,661.96,1018.4
SO - 000417,Online,WARE-NMK1003,8/7/2018,USD,18,48,148,31,2,0.08,127.3,254.6
SO - 000418,Online,WARE-XYS1001,8/7/2018,USD,13,13,6,38,5,0.4,316.58,703.5
SO - 000420,Online,WARE-NBV1002,8/7/2018,USD,16,6,61,3,4,0.05,560.79,1038.5
SO - 000421,In-Store,WARE-NMK1003,8/7/2018,USD,3,50,188,37,4,0.15,1894.89,2398.6
SO - 000423,Distributor,WARE-XYS1001,9/7/2018,USD,25,30,39,46,7,0.15,3179.69,5212.6
SO - 000424,Online,WARE-NMK1003,9/7/2018,USD,15,46,102,22,3,0.05,206.23,254.6
SO - 000425,In-Store,WARE-UHY1004,9/7/2018,USD,3,29,236,3,4,0.08,2120.15,3926.2
SO - 000426,Online,WARE-PUJ1005,9/7/2018,USD,17,13,312,12,8,0.1,582.9,1165.8
SO - 000427,In-Store,WARE-NMK1003,9/7/2018,USD,7,44,183,6,1,0.15,2354.11,3859.2
SO - 000430,Distributor,WARE-NMK1003,9/7/2018,USD,22,38,137,3,8,0.05,665.71,924.6
SO - 000431,Distributor,WARE-NMK1003,9/7/2018,USD,23,13,119,21,6,0.1,3371.44,3966.4
SO - 000432,Online,WARE-PUJ1005,9/7/2018,USD,15,19,283,43,7,0.1,450.24,938
SO - 000433,In-Store,WARE-NBV1002,10/7/2018,USD,7,20,81,30,6,0.2,1090.76,1983.2
SO - 000435,In-Store,WARE-NBV1002,11/7/2018,USD,7,14,87,2,3,0.05,2051.47,3061.9
SO - 000438,In-Store,WARE-NMK1003,11/7/2018,USD,11,4,138,37,6,0.05,3071.95,6143.9
SO - 000439,Distributor,WARE-NMK1003,11/7/2018,USD,20,45,143,43,7,0.2,1928.39,2472.3
SO - 000441,In-Store,WARE-UHY1004,11/7/2018,USD,11,33,216,14,1,0.05,492.05,964.8
SO - 000442,In-Store,WARE-MKL1006,11/7/2018,USD,2,46,342,12,8,0.2,3104.24,3832.4
SO - 000443,In-Store,WARE-NMK1003,11/7/2018,USD,2,12,190,45,7,0.2,781.49,964.8
SO - 000445,Online,WARE-PUJ1005,11/7/2018,USD,16,43,319,6,8,0.05,74.17,180.9
SO - 000446,Distributor,WARE-NMK1003,11/7/2018,USD,22,23,96,24,7,0.05,346.12,844.2
SO - 000447,In-Store,WARE-NMK1003,11/7/2018,USD,7,25,96,11,7,0.2,1780.26,3490.7
SO - 000448,Online,WARE-NBV1002,12/7/2018,USD,20,39,66,9,5,0.2,778.54,1112.2
SO - 000450,Distributor,WARE-XYS1001,12/7/2018,USD,24,20,1,41,3,0.08,906.11,1078.7
SO - 000451,Wholesale,WARE-PUJ1005,12/7/2018,USD,26,10,273,25,7,0.08,3857.93,5433.7
SO - 000454,Distributor,WARE-UHY1004,12/7/2018,USD,24,8,258,10,3,0.08,856.39,1112.2
SO - 000457,Wholesale,WARE-PUJ1005,12/7/2018,USD,27,11,273,7,7,0.2,1184.56,1822.4
